Cod_Concessionaria,Cod_Filial,Nome_da_Concessionaria,Nome_da_Filial,Marca_da_Filial,Valor_da_Peca_em_Estoque,Quantidade_da_Peca_em_Estoque,Descricao_da_Peca,Categoria_da_Peca,Data_de_Ultima_Venda_da_Peca,Data_da_Ultima_Entrada_no_Estoque_da_Peca,Peca_Esta_Obsoleta,Quanto_Tempo_a_Peca_Esta_Obsoleta,Nome_da_Marca_da_Peca,Codigo_da_Peca_no_Estoque
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,294.42,1,PARALAMA,PECAS ORIGINAIS VW,2024-04-29,2024-02-27,True,6 MESES A 1 ANO,VOLKSWAGEN,163-1-166896
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,75.41,1,VEDACAO,PECAS ORIGINAIS VW,2000-01-01,2019-02-16,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-177266
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,13.48,8,PARAFUSO,PECAS ORIGINAIS VW,2024-04-29,2015-04-02,True,6 MESES A 1 ANO,VOLKSWAGEN,163-1-36270
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,208.1,2,EIXO DA RODA,PECAS ORIGINAIS VW,2021-07-13,2022-06-30,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-9443
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,1879.88,1,TAMPA,PECAS ORIGINAIS VW,2024-10-15,2024-10-07,False,0,VOLKSWAGEN,163-1-79116
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,4570.25,35,BOBINA,PECAS ORIGINAIS VW,2024-10-16,2024-09-24,False,0,VOLKSWAGEN,163-1-203931
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,74.06,76,MANCAL,PECAS ORIGINAIS VW,2024-09-30,2024-07-16,False,0,VOLKSWAGEN,163-1-51398
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,288.63,6,ALAVSELECT,PECAS ORIGINAIS VW,2024-10-17,2024-06-06,False,0,VOLKSWAGEN,163-1-63325
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,605.82,3,RESERVAT.,PECAS ORIGINAIS VW,2024-08-28,2024-01-30,False,0,VOLKSWAGEN,163-1-191397
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,25.39,1,TRILHO,PECAS ORIGINAIS VW,2024-07-22,2023-03-29,False,0,VOLKSWAGEN,163-1-36599
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,208.01,4,TUBULACAO,PECAS ORIGINAIS VW,2000-01-01,2024-05-25,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-102775
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,80.0,1,GUARNICAO,OUTRAS MERCADORIAS,2000-01-01,2024-10-28,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-157343
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,500.95,10,ALOJAMENTO,PECAS ORIGINAIS VW,2024-07-31,2024-06-10,False,0,VOLKSWAGEN,163-1-204003
